Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26881;Appartement;14;RUE;SEGUIER;0;8907;75106
26882;Appartement;45;RUE;MONGE;0;6432;75107
26883;Appartement;5;QUAI;DE MONTEBELLO;24;6472;75107
26884;Appartement;7;RUE;SEDILLOT;0;8903;75107
26885;Appartement;20;RUE;VISCONTI;0;9880;75106
26886;Appartement;5;RUE;DU PONT DE LODI;0;7610;75107
26887;Appartement;127;RUE;ST DOMINIQUE;0;8529;75105
26888;Appartement;42;BD;SAINT GERMAIN;15;8619;75107
26889;Appartement;52;RUE;MONSIEUR LE PRINCE;0;6444;75106
26890;Appartement;14;RUE;DES TROIS PORTES;0;9464;75107
26891;Appartement;16;RUE;DU CARDINAL LEMOINE;0;1545;75106
26892;Appartement;59;QUAI;BRANLY;24;1257;75106
26893;Appartement;1;RUE;CASSETTE;0;1591;75106
26894;Appartement;19;RUE;DU VAL DE GRACE;0;9544;75107
26895;Appartement;9;RUE;DE VALENCE;0;9546;75106
26896;Appartement;90;RUE;DE VARENNE;0;9597;75106
26897;Appartement;8;RUE;COCHIN;0;2169;75107
26898;Appartement;17;RUE;JUSSIEU;0;5130;75105
26899;Appartement;95;RUE;DE VAUGIRARD;0;9624;75106
26900;Appartement;12;RUE;DES URSULINES;0;9533;75105
26901;Appartement;5;RUE;DE L UNIVERSITE;0;9527;75105
26902;Appartement;2;RUE;DU CANIVET;0;1488;75105
